KODE,NAMA_PRODUK,UNIT,TANGGAL,NO_TRANSAKSI,QTY_MSK,NILAI_MSK,KATEGORI,QTY_TOTAL,NILAI_TOTAL
A000001,ANATON TAB,STRIP,2021-07-06,1.13-210706.0908-003,10.0,2520.0,MASUK,10.0,2520.0
A000001,ANATON TAB,STRIP,2021-08-23,1.12-210823.1955-003,10.0,3139.15,MASUK,10.0,3139.15
A000001,ANATON TAB,STRIP,2021-10-13,1.11-211013.1609-006,10.0,3186.98,MASUK,10.0,3186.98
A00000156,zz,BTL,2021-03-25,1.13-210325.2028-006,4.0,14355.43,MASUK,4.0,14355.43
A00000157,z,BTL,2021-03-25,1.13-210325.2028-006,3.0,20295.6,MASUK,3.0,20295.6
A00000157,z,BTL,2021-07-22,1.11-210722.1949-005,3.0,21425.19,MASUK,3.0,21425.19
A000002,ASEPTIC PLUS SPRAY,BTL,2021-07-15,1.6-210715.1726-001,3.0,11000.0,MASUK,3.0,11000.0
A00001,ACTIVED HIJAU,BTL,2021-01-07,1.11-210107.1939-001,2.0,51986.71,MASUK,2.0,51986.71
A00001,ACTIVED HIJAU,BTL,2021-01-25,1.13-210125.0536-006,2.0,51985.1,MASUK,2.0,51985.1
A00001,ACTIVED HIJAU,BTL,2021-02-03,1.11-210203.1313-008,2.0,51986.17,MASUK,2.0,51986.17
A00001,ACTIVED HIJAU,BTL,2021-04-09,1.12-210409.2007-001,2.0,51994.17,MASUK,2.0,51994.17
A00001,ACTIVED HIJAU,BTL,2021-05-03,1.12-210503.1654-002,2.0,54009.1,MASUK,2.0,54009.1
A00001,ACTIVED HIJAU,BTL,2021-05-26,1.13-210526.1426-001,3.0,49666.67,MASUK,3.0,49666.67
A00001,ACTIVED HIJAU,BTL,2021-06-22,1.11-210622.1629-002,2.0,58550.17,MASUK,2.0,58550.17
A00001,ACTIVED HIJAU,BTL,2021-11-18,1.11-211118.1524-008,2.0,53495.16,MASUK,2.0,53495.16
A00001,ACTIVED HIJAU,BTL,2021-12-14,1.11-211214.1510-001,2.0,50200.0,MASUK,2.0,50200.0
A00001,ACTIVED HIJAU,BTL,2021-12-27,1.13-211227.1634-004,1.0,53486.71,MASUK,1.0,53486.71
A000011,ALLERIN EXP,BTL,2021-07-06,1.13-210706.0908-003,3.0,11983.46,MASUK,3.0,11983.46
A000012,APIALYS SYR 100 ML,BTL,2021-01-19,1.13-210119.0333-002,1.0,35398.69,MASUK,1.0,35398.69
A000012,APIALYS SYR 100 ML,BTL,2021-02-02,1.13-210202.1133-003,1.0,35524.63,MASUK,1.0,35524.63
A000012,APIALYS SYR 100 ML,BTL,2021-02-23,1.11-210223.1150-001,1.0,35394.44,MASUK,1.0,35394.44
A000012,APIALYS SYR 100 ML,BTL,2021-03-10,1.11-210310.1212-002,1.0,36301.78,MASUK,1.0,36301.78
A000012,APIALYS SYR 100 ML,BTL,2021-05-29,1.11-210529.1726-003,1.0,35394.92,MASUK,1.0,35394.92
A000012,APIALYS SYR 100 ML,BTL,2021-07-07,1.13-210707.1257-001,1.0,42903.58,MASUK,1.0,42903.58
A000012,APIALYS SYR 100 ML,BTL,2021-07-17,1.13-210717.1459-001,1.0,35397.59,MASUK,1.0,35397.59
A000012,APIALYS SYR 100 ML,BTL,2021-07-21,1.13-210721.1541-001,1.0,35393.91,MASUK,1.0,35393.91
A000012,APIALYS SYR 100 ML,BTL,2021-08-25,1.11-210825.1454-001,2.0,35398.37,MASUK,2.0,35398.37
A000012,APIALYS SYR 100 ML,BTL,2021-09-08,1.11-210908.1510-011,1.0,35396.28,MASUK,1.0,35396.28
A000012,APIALYS SYR 100 ML,BTL,2021-09-29,1.13-210929.1310-004,1.0,35396.89,MASUK,1.0,35396.89
A000012,APIALYS SYR 100 ML,BTL,2021-10-16,1.11-211016.1834-003,1.0,35394.41,MASUK,1.0,35394.41
A000012,APIALYS SYR 100 ML,BTL,2021-11-10,1.13-211110.1301-003,2.0,35392.92,MASUK,2.0,35392.92
A000012,APIALYS SYR 100 ML,BTL,2021-12-01,1.12-211201.1305-007,1.0,35399.4,MASUK,1.0,35399.4
A000012,APIALYS SYR 100 ML,BTL,2021-12-15,1.11-211215.1446-002,1.0,36302.09,MASUK,1.0,36302.09
A000012,APIALYS SYR 100 ML,BTL,2021-12-22,1.11-211222.1237-002,1.0,35394.63,MASUK,1.0,35394.63
A000014,ALKOHOL 1000 ML,BTL,2021-01-11,1.13-210111.0108-002,2.0,29275.55,MASUK,2.0,29275.55
A000014,ALKOHOL 1000 ML,BTL,2021-07-13,1.11-210713.1544-005,3.0,32500.0,MASUK,3.0,32500.0
A000014,ALKOHOL 1000 ML,BTL,2021-07-24,1.13-210724.0836-004,3.0,32500.0,MASUK,3.0,32500.0
A000014,ALKOHOL 1000 ML,BTL,2021-07-30,1.11-210730.0913-001,3.0,32500.0,MASUK,3.0,32500.0
A000014,ALKOHOL 1000 ML,BTL,2021-08-16,1.13-210816.1009-005,3.0,36099.61,MASUK,3.0,36099.61
A000014,ALKOHOL 1000 ML,BTL,2021-08-18,1.11-210818.1651-003,6.0,32500.0,MASUK,6.0,32500.0
A000016,ALLOPURINOL 300,STRIP,2021-01-15,1.13-210115.0442-003,10.0,4300.01,MASUK,10.0,4300.01
A000016,ALLOPURINOL 300,STRIP,2021-02-10,1.6-210210.1837-001,10.0,4299.94,MASUK,10.0,4299.94
A000016,ALLOPURINOL 300,STRIP,2021-03-03,1.12-210303.1525-004,20.0,4300.01,MASUK,20.0,4300.01
A000016,ALLOPURINOL 300,STRIP,2021-04-07,1.11-210407.1326-006,10.0,4299.86,MASUK,10.0,4299.86
A000016,ALLOPURINOL 300,STRIP,2021-04-21,1.11-210421.1231-001,10.0,4299.85,MASUK,10.0,4299.85
A000016,ALLOPURINOL 300,STRIP,2021-05-05,1.11-210505.1226-001,10.0,4299.87,MASUK,10.0,4299.87
A000016,ALLOPURINOL 300,STRIP,2021-05-19,1.13-210519.1907-004,10.0,4300.04,MASUK,10.0,4300.04
A000016,ALLOPURINOL 300,STRIP,2021-05-19,1.13-210519.1711-003,20.0,4299.9,MASUK,20.0,4299.9
A000016,ALLOPURINOL 300,STRIP,2021-07-10,1.11-210710.1517-001,10.0,4299.91,MASUK,10.0,4299.91
A000016,ALLOPURINOL 300,STRIP,2021-08-12,1.11-210812.1241-004,30.0,4299.86,MASUK,30.0,4299.86
A000016,ALLOPURINOL 300,STRIP,2021-09-22,1.13-210922.1621-004,20.0,4299.98,MASUK,20.0,4299.98
A000016,ALLOPURINOL 300,STRIP,2021-10-06,1.11-211006.1228-001,20.0,4300.06,MASUK,20.0,4300.06
A000016,ALLOPURINOL 300,STRIP,2021-11-29,1.9-211129.1354-006,10.0,4529.36,MASUK,10.0,4529.36
A000016,ALLOPURINOL 300,STRIP,2021-12-15,1.12-211215.1934-007,20.0,4299.91,MASUK,20.0,4299.91
A000016,ALLOPURINOL 300,STRIP,2021-12-29,1.13-211229.1231-002,20.0,4299.89,MASUK,20.0,4299.89
A000018,ATORVASTATIN 10MG,STRIP,2021-01-20,1.11-210120.0651-001,3.0,20626.83,MASUK,3.0,20626.83
A000018,ATORVASTATIN 10MG,STRIP,2021-03-17,1.12-210317.1217-005,3.0,20625.0,MASUK,3.0,20625.0
A000018,ATORVASTATIN 10MG,STRIP,2021-09-25,1.13-210925.1627-002,3.0,20627.19,MASUK,3.0,20627.19
A00002,ACTIVED KUNING,BTL,2021-02-03,1.13-210203.1941-004,1.0,48247.06,MASUK,1.0,48247.06
A00003,ACTIVED MERAH,BTL,2021-01-07,1.11-210107.1939-001,2.0,51986.71,MASUK,2.0,51986.71
A00003,ACTIVED MERAH,BTL,2021-01-18,1.11-210118.1750-005,2.0,50738.56,MASUK,2.0,50738.56
A00003,ACTIVED MERAH,BTL,2021-02-03,1.11-210203.1313-008,1.0,51986.17,MASUK,1.0,51986.17
A00003,ACTIVED MERAH,BTL,2021-02-03,1.11-210203.1313-008,1.0,51986.17,MASUK,1.0,51986.17
A00003,ACTIVED MERAH,BTL,2021-02-08,1.6-210208.2025-003,2.0,51986.22,MASUK,2.0,51986.22
A00003,ACTIVED MERAH,BTL,2021-02-22,1.13-210222.1942-004,2.0,54005.55,MASUK,2.0,54005.55
A00003,ACTIVED MERAH,BTL,2021-04-19,1.11-210419.1344-003,2.0,50750.0,MASUK,2.0,50750.0
A00003,ACTIVED MERAH,BTL,2021-05-12,1.11-210512.1453-001,1.0,54001.43,MASUK,1.0,54001.43
A00003,ACTIVED MERAH,BTL,2021-05-18,1.11-210518.1237-002,1.0,58552.12,MASUK,1.0,58552.12
A00003,ACTIVED MERAH,BTL,2021-06-22,1.11-210622.1629-002,2.0,58550.17,MASUK,2.0,58550.17
A00003,ACTIVED MERAH,BTL,2021-09-22,1.13-210922.1819-006,2.0,58581.28,MASUK,2.0,58581.28
A00003,ACTIVED MERAH,BTL,2021-10-02,1.11-211002.1710-007,2.0,58550.3,MASUK,2.0,58550.3
A00003,ACTIVED MERAH,BTL,2021-10-04,1.11-211004.1604-002,3.0,49666.67,MASUK,3.0,49666.67
A00003,ACTIVED MERAH,BTL,2021-11-30,1.9-211130.1501-005,1.0,50200.0,MASUK,1.0,50200.0
A00003,ACTIVED MERAH,BTL,2021-12-02,1.11-211202.1728-007,1.0,58547.88,MASUK,1.0,58547.88
A00003,ACTIVED MERAH,BTL,2021-12-20,1.11-211220.1647-003,2.0,58554.03,MASUK,2.0,58554.03
A00004,ACYCLOVIR 200MG,STRIP,2021-07-08,1.9-210708.1834-003,5.0,5869.44,MASUK,5.0,5869.44
A00004,ACYCLOVIR 200MG,STRIP,2021-07-16,1.11-210716.1048-004,5.0,5868.53,MASUK,5.0,5868.53
A00004,ACYCLOVIR 200MG,STRIP,2021-07-16,1.11-210716.1026-003,5.0,5869.11,MASUK,5.0,5869.11
A00004,ACYCLOVIR 200MG,STRIP,2021-09-30,1.9-210930.2026-003,5.0,5868.5,MASUK,5.0,5868.5
A00004,ACYCLOVIR 200MG,STRIP,2021-10-06,1.13-211006.1850-003,5.0,5692.83,MASUK,5.0,5692.83
A000040,MEFIX 500MG,STRIP,2021-04-09,1.12-210409.2013-002,10.0,9609.67,MASUK,10.0,9609.67
A000040,MEFIX 500MG,STRIP,2021-06-14,1.11-210614.1822-002,10.0,8870.47,MASUK,10.0,8870.47
A000040,MEFIX 500MG,STRIP,2021-09-22,1.13-210922.1821-007,10.0,8870.7,MASUK,10.0,8870.7
A000040,MEFIX 500MG,STRIP,2021-10-28,1.11-211028.1233-001,10.0,8870.41,MASUK,10.0,8870.41
A00005,ACYCLOVIR 400MG,STRIP,2021-01-25,1.13-210125.0544-008,5.0,6935.83,MASUK,5.0,6935.83
A00005,ACYCLOVIR 400MG,STRIP,2021-02-18,1.11-210218.2010-001,5.0,6936.54,MASUK,5.0,6936.54
A00005,ACYCLOVIR 400MG,STRIP,2021-03-08,1.12-210308.1840-006,5.0,6936.09,MASUK,5.0,6936.09
A00005,ACYCLOVIR 400MG,STRIP,2021-04-19,1.12-210419.1556-003,5.0,6936.0,MASUK,5.0,6936.0
A00005,ACYCLOVIR 400MG,STRIP,2021-04-30,1.11-210430.1446-001,5.0,6935.97,MASUK,5.0,6935.97
A00005,ACYCLOVIR 400MG,STRIP,2021-05-05,1.13-210505.1814-009,10.0,3364.0,MASUK,10.0,3364.0
A00005,ACYCLOVIR 400MG,STRIP,2021-06-07,1.11-210607.1822-012,5.0,6936.47,MASUK,5.0,6936.47
A00005,ACYCLOVIR 400MG,STRIP,2021-06-26,1.13-210626.0831-002,10.0,3467.75,MASUK,10.0,3467.75
A00005,ACYCLOVIR 400MG,STRIP,2021-07-16,1.11-210716.1026-003,15.0,6936.22,MASUK,15.0,6936.22
A00005,ACYCLOVIR 400MG,STRIP,2021-08-19,1.13-210819.1241-003,10.0,3468.33,MASUK,10.0,3468.33
A00005,ACYCLOVIR 400MG,STRIP,2021-09-30,1.9-210930.2026-003,5.0,6935.5,MASUK,5.0,6935.5
A00005,ACYCLOVIR 400MG,STRIP,2021-10-21,1.13-211021.1639-002,5.0,6936.03,MASUK,5.0,6936.03
A00005,ACYCLOVIR 400MG,STRIP,2021-10-28,1.9-211028.2003-009,10.0,3467.97,MASUK,10.0,3467.97
A00005,ACYCLOVIR 400MG,STRIP,2021-11-25,1.12-211125.1404-001,10.0,3467.94,MASUK,10.0,3467.94
A00005,ACYCLOVIR 400MG,STRIP,2021-12-20,1.13-211220.1428-006,10.0,6936.0,MASUK,10.0,6936.0
A000053,ALPARA SYR,BTL,2021-03-29,1.12-210329.1737-004,72.0,1663.34,MASUK,72.0,1663.34
A000053,ALPARA SYR,BTL,2021-06-25,1.11-210625.1841-013,72.0,1680.73,MASUK,72.0,1680.73
A000053,ALPARA SYR,BTL,2021-07-13,1.13-210713.1415-001,12.0,9449.94,MASUK,12.0,9449.94
A000066,ANDALAN KB FE,STRIP,2021-01-25,1.13-210125.0544-008,50.0,343.22,MASUK,50.0,343.22
A000066,ANDALAN KB FE,STRIP,2021-02-18,1.11-210218.2010-001,50.0,343.25,MASUK,50.0,343.25
A000066,ANDALAN KB FE,STRIP,2021-02-23,1.11-210223.1206-004,15.0,12991.83,MASUK,15.0,12991.83
A000066,ANDALAN KB FE,STRIP,2021-02-26,1.9-210226.1328-001,50.0,343.24,MASUK,50.0,343.24
A000066,ANDALAN KB FE,STRIP,2021-03-02,1.13-210302.1147-001,30.0,6495.7,MASUK,30.0,6495.7
A000066,ANDALAN KB FE,STRIP,2021-03-18,1.11-210318.1947-002,12.0,4840.81,MASUK,12.0,4840.81
A000066,ANDALAN KB FE,STRIP,2021-04-01,1.11-210401.1630-002,100.0,343.28,MASUK,100.0,343.28
A000066,ANDALAN KB FE,STRIP,2021-04-01,1.11-210401.1631-003,100.0,343.28,MASUK,100.0,343.28
A000066,ANDALAN KB FE,STRIP,2021-05-20,1.13-210520.1831-002,50.0,343.22,MASUK,50.0,343.22
A000066,ANDALAN KB FE,STRIP,2021-05-31,1.13-210531.2009-002,6.0,4840.04,MASUK,6.0,4840.04
A000066,ANDALAN KB FE,STRIP,2021-06-07,1.11-210607.1822-012,50.0,343.25,MASUK,50.0,343.25
A000066,ANDALAN KB FE,STRIP,2021-06-14,1.13-210614.1647-002,50.0,343.22,MASUK,50.0,343.22
A000066,ANDALAN KB FE,STRIP,2021-06-17,1.13-210617.1647-001,6.0,5170.33,MASUK,6.0,5170.33
